id,name,rating,Latitude,Longitude
1,Chonburi train railway station,4.3,13.34244415618529,100.99804979457326
2,Laem Chabang railway station,4.1,13.09882674320599,100.89851474820331
3,Bang Phra Railway Station,4.4,13.23575132456574,100.95334511752144
4,Bang Lamung railway station,3.8,13.034496282986183,100.93984849350291
5,Phan Thong railway station,4.3,13.462890202641896,101.081498560181
6,Pattaya railway station,4.1,12.940286865587659,100.90911945422552
7,Kao Chi Chan Junction railway station,4.3,12.733428194210052,100.95434310246982
8,Siracha Junction railway station,4.3,13.156292398580565,100.94559460858989
9,Yanasangwararam railway station,4.4,12.801422662621615,100.92267920479598
10,Pattaya Tai railway station,4.1,12.908539027311027,100.90112092576022
11,Ban Plu Ta Luang railway station,4.4,12.7045634628262,100.97264404597496
12,Khao Phra Baht railway station,4.1,13.202504450885694,100.94159029092489
13,Bang Saen Ville,3.6,13.27731665060149,100.94985475467772
14,Na Ja Sa Tai Chi Shrine,4.4,13.328693004340142,100.92332751747956
15,The Wang Saen Suk Hell Garden,4.0,13.29732861876215,100.91299250395872
16,Nong Mon Market,4.4,13.281192520661847,100.93577280970614
17,Buffalo Racing Festival,4.7,13.36437386330756,100.98010992791345
18,Khao Sam Muk Viewpoint,3.7,13.30948393698098,100.90478667565328
19,HarborLand Tukcom Chonburi,3.9,13.34092308570321,100.97328888997929
20,Pattaya Shooting Park,4.2,12.865872138306116,100.91767944110724
21,Wonnapha Beach,4.1,13.269566968460508,100.92336549256608
22,Institute of Marine Science,3.8,13.2848671734689,100.92489959621976
23,TUKCOM CHONBURI Shopping Plaza,4.2,13.340642615920068,100.97374706576217
24,Ã€ La Campagne,4.4,12.859785955001788,100.90851511604995
25,Phli Port Fishing Market,4.1,13.370782197865548,100.97664534247768
26,Wat Yai Inthraram,4.3,13.363696680699187,100.98819969526866
27,Grand Canyon CHONBURI,4.2,13.323058561024443,100.98070037283738
28,Central Plaza Chonburi,4.1,13.335747920081493,100.97025630339647
29,Wat Khao Phra Phutthabat Bang Sai,4.2,13.392796433052386,100.98852609982619
30,Angsila Fish Market Organisation ChonBuri,4.5,13.338587994612725,100.9225385995295
31,Soi Wat Tham Nimit,4.5,13.374450729190068,101.00181094927972
32,Wat Nong Ri Rattanaram,4.0,13.34116459308155,101.03676976212819
33,Wat Khao Phra Phutthabat Bang Sai,4.0,13.392794672376166,100.98852869972727
34,Amata Castle,3.1,13.41888392567458,101.01081115370599
35,Amata Spring Country Club,4.6,13.421054509855916,101.01165656574479
36,Mountain Shadow Golf Club,3.4,13.252771739893447,100.96079863326271
37,Kusatsu Onsen Spa Chonburi,4.5,13.28981537901504,100.94977445848308
38,Jit Thai Spa,4.4,13.3334556779589,100.95140754630903
39,Lek Pattaya Taxi,5.0,12.926154029613134,100.91449084765974
40,Taxi Pattaya (VIP JOB),5.0,12.934832582467745,100.91639643059769
41,High5 Bar & LOUNGE PATTAYA,4.6,12.928547482300015,100.88625120562557
42,TOD Muaythai,4.9,13.289732488667072,100.94990295503764
43,Living Green Elephant Sanctuary Chonburi,4.9,13.165424484742148,101.07197317646965
44,View Talay 6 Condo Pattaya,4.3,12.933266437022436,100.88417463511226
45,Adventure Bikes Pattaya,5.0,12.898601453205227,100.87445921360485
